vCar,sLap,pBrakeF,DRS,gLong,gLat,gVert,NGear,rThrottle,vAir,AirDensity,TimeOfDay,aWheelF,T_FDF,T_RDF,T_Drag_Map
280.39599609375,-0.0778258666396141,0.0401506200432777,1,0.441000014543533,-0.112000003457069,-0.128000006079674,7,100,279.263244628906,1.15724849700928,57866.73046875,0.213809505105019,8082.16707928101,6270.6427739151,3509.20296557062
280.221008300781,1.47796213626862,0.0857942327857018,1,0.386999994516373,-0.126000002026558,-0.261000007390976,7,100,280.779907226563,1.15724670886993,57866.75,0.217367455363274,8198.17840127056,6128.20188223744,3508.31070979702
280.339996337891,3.03670263290405,0.152325600385666,1,0.379999995231628,-0.337000012397766,-0.162000000476837,7,100,280.995574951172,1.15724492073059,57866.76953125,0.200147092342377,8332.57368192436,5997.49049926421,3514.77255721987
281.178009033203,4.59887504577637,0.299313515424728,1,0.523000001907349,-0.444999992847443,-0.629999995231628,7,100,280.548461914063,1.15724313259125,57866.7890625,0.221166595816612,8596.14690310155,5821.27562683872,3538.34570807778
281.790008544922,6.16117572784424,0.0793035849928856,1,0.414000004529953,-0.130999997258186,-0.291000008583069,7,100,281.951110839844,1.15724122524261,57866.80859375,0.208846345543861,7636.91310921611,7325.10482243848,3529.78059196374
281.635986328125,7.72443771362305,0.156580522656441,1,0.241999998688698,-0.159999996423721,-0.550000011920929,7,100,281.345306396484,1.15723943710327,57866.828125,0.231510400772095,7328.2803610343,6460.68441866521,3509.00084778079
281.359008789063,9.29006004333496,0.15542009472847,1,0.298000007867813,-0.116999998688698,0.0540000014007092,7,100,281.041168212891,1.15723764896393,57866.84765625,0.19708751142025,8237.27011203172,7132.23299558111,3505.66786815491
282.013000488281,10.857460975647,0.220017492771149,1,0.388999998569489,-0.25900000333786,-0.624000012874603,7,100,278.479553222656,1.15723586082458,57866.8671875,0.232386127114296,8243.74800841317,6776.96902687821,3526.7293009285
282.692993164063,12.4253950119019,0.159288197755814,1,0.48199999332428,-0.162000000476837,-0.374000012874603,7,100,274.435180664063,1.15723395347595,57866.890625,0.25428318977356,8252.62154502941,6428.22576776788,3548.33894994163
282.976989746094,13.9950819015503,0.106295183300972,1,0.374000012874603,-0.0500000007450581,-0.162000000476837,7,100,276.827484130859,1.15723216533661,57866.91015625,0.234762042760849,8298.99387458805,6543.94699822832,3550.05218990848
282.533996582031,15.5664005279541,0.209186717867851,1,0.300000011920929,-0.017000000923872,-0.142000004649162,7,100,280.467132568359,1.15723037719727,57866.9296875,0.218974739313126,8363.05632081436,6656.43354769057,3541.59719576174
282.794006347656,17.1395092010498,0.180949568748474,1,0.330000013113022,-0.126000002026558,0.137999996542931,7,100,278.123840332031,1.15722858905792,57866.94921875,0.226227015256882,7791.45862186227,6663.9001395512,3556.27982768593
283.710998535156,18.7129364013672,0.0967100486159325,1,0.435000002384186,-0.152999997138977,0.164000004529953,7,100,278.879058837891,1.15722680091858,57866.96875,0.238772705197334,8109.50835017979,7005.59778653838,3576.39869991837
284.173004150391,20.2873821258545,0.271463185548782,1,0.33899998664856,-0.0549999997019768,0.202999994158745,7,100,275.401885986328,1.15722489356995,57866.98828125,0.247098281979561,8674.50755392138,6526.57730775155,3622.95035244872
283.971008300781,21.8653202056885,0.114418193697929,1,0.268999993801117,0.167999997735023,0.180999994277954,7,100,278.011749267578,1.1572231054306,57867.0078125,0.181476280093193,8952.56136055884,6264.51451777521,3628.83716502905
284.122009277344,23.4465293884277,0.38712015748024,1,0.421999990940094,-0.096000000834465,0.0480000004172325,7,100,281.500457763672,1.15722131729126,57867.02734375,0.225881189107895,8658.42108317375,6142.98465216957,3623.17366119057
285.347991943359,25.029613494873,0.0962381139397621,1,0.495999991893768,-0.0970000028610229,-0.386999994516373,7,100,280.873077392578,1.15721952915192,57867.05078125,0.197271585464478,8529.49237485434,6259.37866205613,3653.6505300516
285.821014404297,26.6128234863281,0.230848103761673,1,0.398999989032745,-0.0740000009536743,0.0799999982118607,7,100,280.798126220703,1.15721762180328,57867.0703125,0.234117910265923,8361.19412794042,6345.72581006021,3664.94611819735
285.235992431641,28.1978969573975,0.0873414725065231,1,0.374000012874603,0.138999998569489,-0.0370000004768372,7,100,284.712463378906,1.15721583366394,57867.08984375,0.196142986416817,8401.78514854065,6462.86681951415,3649.88190495304
285.183990478516,29.7855129241943,0.295445412397385,1,0.223000004887581,0.068000003695488,-0.133000001311302,7,100,285.220581054688,1.1572140455246,57867.109375,0.218850448727608,8049.53618421572,6688.65534335125,3632.41100830156
286.097991943359,31.3745765686035,0.249414995312691,1,0.319000005722046,0.104999996721745,-0.312999993562698,7,100,286.274597167969,1.15721225738525,57867.12890625,0.212386891245842,7978.33369708371,7051.82368646035,3640.75348628761
286.760986328125,32.9638595581055,0.0768975988030434,1,0.333999991416931,-0.103000000119209,-0.0489999987185001,7,100,287.727203369141,1.15721035003662,57867.1484375,0.218083456158638,8099.6743274086,7040.04472498899,3650.90528003435
286.571990966797,34.5540313720703,0.247094124555588,1,0.28600001335144,0.0850000008940697,0.0219999998807907,7,100,285.614776611328,1.15720856189728,57867.16796875,0.203327894210815,8251.42013156418,6625.99455866284,3643.77911917621
286.210998535156,36.1466026306152,0.0273784045130014,1,0.303000003099442,0.118000000715256,0.168999999761581,7,100,283.928833007813,1.15720677375793,57867.1875,0.217555612325668,8569.32740874502,6324.07278676112,3651.42685796572
